CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
0.00%               143.5MiB / 1.944GiB   7.21%               1.05kB / 0B         0B / 0B             42
0.00%               143.5MiB / 1.944GiB   7.21%               1.05kB / 0B         0B / 0B             42
0.47%               143.5MiB / 1.944GiB   7.21%               1.05kB / 0B         0B / 0B             42
0.47%               143.5MiB / 1.944GiB   7.21%               1.05kB / 0B         0B / 0B             42
0.30%               143.5MiB / 1.944GiB   7.21%               1.05kB / 0B         0B / 0B             42
0.30%               143.5MiB / 1.944GiB   7.21%               1.05kB / 0B         0B / 0B             42
0.33%               143.5MiB / 1.944GiB   7.21%               1.05kB / 0B         0B / 0B             42
0.33%               143.5MiB / 1.944GiB   7.21%               1.05kB / 0B         0B / 0B             42
30.75%              153.6MiB / 1.944GiB   7.72%               995kB / 25.2kB      0B / 0B             99
30.75%              153.6MiB / 1.944GiB   7.72%               995kB / 25.2kB      0B / 0B             99
101.26%             186.5MiB / 1.944GiB   9.37%               1.6MB / 40.5kB      0B / 0B             228
101.26%             186.5MiB / 1.944GiB   9.37%               1.6MB / 40.5kB      0B / 0B             228
100.15%             193.2MiB / 1.944GiB   9.71%               1.6MB / 40.5kB      0B / 0B             229
100.15%             193.2MiB / 1.944GiB   9.71%               1.6MB / 40.5kB      0B / 0B             229
99.46%              199.7MiB / 1.944GiB   10.03%              1.6MB / 40.5kB      0B / 0B             230
99.46%              199.7MiB / 1.944GiB   10.03%              1.6MB / 40.5kB      0B / 0B             230
101.87%             201.8MiB / 1.944GiB   10.14%              1.69MB / 555kB      0B / 0B             230
101.87%             201.8MiB / 1.944GiB   10.14%              1.69MB / 555kB      0B / 0B             230
101.87%             216MiB / 1.944GiB   10.85%              2.51MB / 1.38MB     0B / 0B             230
101.87%             216MiB / 1.944GiB   10.85%              2.51MB / 1.38MB     0B / 0B             230
101.67%             220.9MiB / 1.944GiB   11.10%              3.53MB / 2.03MB     0B / 0B             230
101.67%             220.9MiB / 1.944GiB   11.10%              3.53MB / 2.03MB     0B / 0B             230
101.54%             234MiB / 1.944GiB   11.76%              4.37MB / 2.74MB     0B / 0B             230
101.54%             234MiB / 1.944GiB   11.76%              4.37MB / 2.74MB     0B / 0B             230
102.19%             236.1MiB / 1.944GiB   11.86%              5.47MB / 3.91MB     0B / 0B             230
102.19%             236.1MiB / 1.944GiB   11.86%              5.47MB / 3.91MB     0B / 0B             230
101.55%             246.9MiB / 1.944GiB   12.40%              6.79MB / 4.58MB     0B / 0B             230
101.55%             246.9MiB / 1.944GiB   12.40%              6.79MB / 4.58MB     0B / 0B             230
102.39%             268.1MiB / 1.944GiB   13.47%              7.75MB / 5.61MB     0B / 0B             230
102.39%             268.1MiB / 1.944GiB   13.47%              7.75MB / 5.61MB     0B / 0B             230
101.91%             268.6MiB / 1.944GiB   13.50%              9MB / 6.6MB         0B / 0B             230
101.91%             268.6MiB / 1.944GiB   13.50%              9MB / 6.6MB         0B / 0B             230
103.25%             269.5MiB / 1.944GiB   13.54%              10.4MB / 7.68MB     0B / 0B             230
103.25%             269.5MiB / 1.944GiB   13.54%              10.4MB / 7.68MB     0B / 0B             230
106.30%             273.1MiB / 1.944GiB   13.72%              11.7MB / 8.7MB      0B / 0B             230
106.30%             273.1MiB / 1.944GiB   13.72%              11.7MB / 8.7MB      0B / 0B             230
106.19%             275.2MiB / 1.944GiB   13.83%              13MB / 9.66MB       0B / 0B             230
106.19%             275.2MiB / 1.944GiB   13.83%              13MB / 9.66MB       0B / 0B             230
103.96%             277.4MiB / 1.944GiB   13.94%              14.2MB / 10.9MB     0B / 0B             230
103.96%             277.4MiB / 1.944GiB   13.94%              14.2MB / 10.9MB     0B / 0B             230
103.34%             278.1MiB / 1.944GiB   13.97%              15.9MB / 12.1MB     0B / 0B             230
103.34%             278.1MiB / 1.944GiB   13.97%              15.9MB / 12.1MB     0B / 0B             230
102.43%             278.9MiB / 1.944GiB   14.01%              17.4MB / 13.4MB     0B / 0B             230
102.43%             278.9MiB / 1.944GiB   14.01%              17.4MB / 13.4MB     0B / 0B             230
101.62%             279.8MiB / 1.944GiB   14.06%              19MB / 14.6MB       0B / 0B             230
101.62%             279.8MiB / 1.944GiB   14.06%              19MB / 14.6MB       0B / 0B             230
102.78%             280.3MiB / 1.944GiB   14.08%              20.5MB / 16MB       0B / 0B             230
102.78%             280.3MiB / 1.944GiB   14.08%              20.5MB / 16MB       0B / 0B             230
103.09%             281.2MiB / 1.944GiB   14.13%              22.3MB / 17.2MB     0B / 0B             230
103.09%             281.2MiB / 1.944GiB   14.13%              22.3MB / 17.2MB     0B / 0B             230
103.09%             281.7MiB / 1.944GiB   14.15%              24MB / 18.7MB       0B / 0B             230
103.09%             281.7MiB / 1.944GiB   14.15%              24MB / 18.7MB       0B / 0B             230
102.63%             282.9MiB / 1.944GiB   14.21%              25.8MB / 20.1MB     0B / 0B             230
102.63%             282.9MiB / 1.944GiB   14.21%              25.8MB / 20.1MB     0B / 0B             230
102.20%             283.7MiB / 1.944GiB   14.25%              27.8MB / 21.6MB     0B / 0B             230
102.20%             283.7MiB / 1.944GiB   14.25%              27.8MB / 21.6MB     0B / 0B             230
101.87%             284.8MiB / 1.944GiB   14.31%              29.7MB / 23.1MB     0B / 0B             230
101.87%             284.8MiB / 1.944GiB   14.31%              29.7MB / 23.1MB     0B / 0B             230
103.17%             285.5MiB / 1.944GiB   14.35%              31.6MB / 24.6MB     0B / 0B             230
103.17%             285.5MiB / 1.944GiB   14.35%              31.6MB / 24.6MB     0B / 0B             230
101.41%             286.4MiB / 1.944GiB   14.39%              33.7MB / 26.2MB     0B / 0B             230
101.41%             286.4MiB / 1.944GiB   14.39%              33.7MB / 26.2MB     0B / 0B             230
99.51%              287.1MiB / 1.944GiB   14.43%              35.7MB / 27.8MB     0B / 0B             230
99.51%              287.1MiB / 1.944GiB   14.43%              35.7MB / 27.8MB     0B / 0B             230
102.97%             287.4MiB / 1.944GiB   14.44%              37.8MB / 29.4MB     0B / 0B             230
102.97%             287.4MiB / 1.944GiB   14.44%              37.8MB / 29.4MB     0B / 0B             230
