 CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
 0.00%               130.5MiB / 1.944GiB   6.56%               906B / 0B           0B / 0B             42
 0.00%               130.5MiB / 1.944GiB   6.56%               906B / 0B           0B / 0B             42
 0.21%               130.5MiB / 1.944GiB   6.56%               906B / 0B           0B / 0B             42
 0.21%               130.5MiB / 1.944GiB   6.56%               906B / 0B           0B / 0B             42
 0.35%               130.5MiB / 1.944GiB   6.56%               906B / 0B           0B / 0B             42
 0.35%               130.5MiB / 1.944GiB   6.56%               906B / 0B           0B / 0B             42
 0.19%               130.5MiB / 1.944GiB   6.56%               906B / 0B           0B / 0B             42
 0.19%               130.5MiB / 1.944GiB   6.56%               906B / 0B           0B / 0B             42
 0.24%               130.5MiB / 1.944GiB   6.56%               976B / 0B           0B / 0B             42
 0.24%               130.5MiB / 1.944GiB   6.56%               976B / 0B           0B / 0B             42
 0.32%               130.5MiB / 1.944GiB   6.56%               976B / 0B           0B / 0B             42
 0.32%               130.5MiB / 1.944GiB   6.56%               976B / 0B           0B / 0B             42
 81.58%              157.3MiB / 1.944GiB   7.90%               1.6MB / 40.4kB      0B / 0B             161
 81.58%              157.3MiB / 1.944GiB   7.90%               1.6MB / 40.4kB      0B / 0B             161
 100.81%             182.7MiB / 1.944GiB   9.18%               1.6MB / 40.4kB      0B / 0B             229
 100.81%             182.7MiB / 1.944GiB   9.18%               1.6MB / 40.4kB      0B / 0B             229
 100.62%             198.4MiB / 1.944GiB   9.97%               1.6MB / 40.4kB      0B / 0B             229
 100.62%             198.4MiB / 1.944GiB   9.97%               1.6MB / 40.4kB      0B / 0B             229
 100.85%             208.8MiB / 1.944GiB   10.49%              1.61MB / 153kB      0B / 0B             233
 100.85%             208.8MiB / 1.944GiB   10.49%              1.61MB / 153kB      0B / 0B             233
 103.48%             223.1MiB / 1.944GiB   11.21%              1.73MB / 1.1MB      0B / 0B             233
 103.48%             223.1MiB / 1.944GiB   11.21%              1.73MB / 1.1MB      0B / 0B             233
 100.02%             228.5MiB / 1.944GiB   11.48%              1.76MB / 1.55MB     0B / 0B             233
 100.02%             228.5MiB / 1.944GiB   11.48%              1.76MB / 1.55MB     0B / 0B             233
 100.66%             238MiB / 1.944GiB   11.96%              2.63MB / 2.57MB     0B / 0B             233
 100.66%             238MiB / 1.944GiB   11.96%              2.63MB / 2.57MB     0B / 0B             233
 101.88%             246.8MiB / 1.944GiB   12.40%              3.57MB / 3.55MB     0B / 0B             233
 101.88%             246.8MiB / 1.944GiB   12.40%              3.57MB / 3.55MB     0B / 0B             233
 102.04%             247.6MiB / 1.944GiB   12.44%              4.35MB / 4.79MB     0B / 0B             233
 102.04%             247.6MiB / 1.944GiB   12.44%              4.35MB / 4.79MB     0B / 0B             233
 102.95%             247.7MiB / 1.944GiB   12.45%              5.27MB / 5.94MB     0B / 0B             233
 102.95%             247.7MiB / 1.944GiB   12.45%              5.27MB / 5.94MB     0B / 0B             233
 101.90%             248.2MiB / 1.944GiB   12.47%              6.11MB / 7.01MB     0B / 0B             233
 101.90%             248.2MiB / 1.944GiB   12.47%              6.11MB / 7.01MB     0B / 0B             233
 102.28%             248.5MiB / 1.944GiB   12.48%              6.89MB / 8.21MB     0B / 0B             233
 102.28%             248.5MiB / 1.944GiB   12.48%              6.89MB / 8.21MB     0B / 0B             233
 103.81%             249.2MiB / 1.944GiB   12.52%              7.71MB / 9.36MB     0B / 0B             233
 103.81%             249.2MiB / 1.944GiB   12.52%              7.71MB / 9.36MB     0B / 0B             233
 102.38%             249.7MiB / 1.944GiB   12.55%              8.61MB / 10.5MB     0B / 0B             233
 102.38%             249.7MiB / 1.944GiB   12.55%              8.61MB / 10.5MB     0B / 0B             233
 102.65%             249.9MiB / 1.944GiB   12.56%              9.52MB / 11.8MB     0B / 0B             233
 102.65%             249.9MiB / 1.944GiB   12.56%              9.52MB / 11.8MB     0B / 0B             233
 101.90%             250.8MiB / 1.944GiB   12.60%              10.4MB / 13MB       0B / 0B             233
 101.90%             250.8MiB / 1.944GiB   12.60%              10.4MB / 13MB       0B / 0B             233
 102.96%             250.6MiB / 1.944GiB   12.59%              11.3MB / 14.2MB     0B / 0B             233
 102.96%             250.6MiB / 1.944GiB   12.59%              11.3MB / 14.2MB     0B / 0B             233
 102.55%             251MiB / 1.944GiB   12.61%              12.2MB / 15.4MB     0B / 0B             233
 102.55%             251MiB / 1.944GiB   12.61%              12.2MB / 15.4MB     0B / 0B             233
 104.06%             251.5MiB / 1.944GiB   12.64%              13.2MB / 16.9MB     0B / 0B             233
 104.06%             251.5MiB / 1.944GiB   12.64%              13.2MB / 16.9MB     0B / 0B             233
 102.70%             251.7MiB / 1.944GiB   12.65%              14.2MB / 18.1MB     0B / 0B             233
