CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
0.00%               24.59MiB / 1.944GiB   1.24%               1.05kB / 0B         0B / 0B             19
0.00%               24.59MiB / 1.944GiB   1.24%               1.05kB / 0B         0B / 0B             19
0.00%               24.59MiB / 1.944GiB   1.24%               1.05kB / 0B         0B / 0B             19
0.00%               24.59MiB / 1.944GiB   1.24%               1.05kB / 0B         0B / 0B             19
0.00%               24.59MiB / 1.944GiB   1.24%               1.05kB / 0B         0B / 0B             19
0.00%               24.59MiB / 1.944GiB   1.24%               1.05kB / 0B         0B / 0B             19
0.00%               24.59MiB / 1.944GiB   1.24%               1.05kB / 0B         0B / 0B             19
0.00%               24.59MiB / 1.944GiB   1.24%               1.05kB / 0B         0B / 0B             19
0.00%               24.59MiB / 1.944GiB   1.24%               1.05kB / 0B         0B / 0B             19
0.00%               24.59MiB / 1.944GiB   1.24%               1.05kB / 0B         0B / 0B             19
37.78%              37.29MiB / 1.944GiB   1.87%               1.44MB / 328kB      0B / 0B             23
37.78%              37.29MiB / 1.944GiB   1.87%               1.44MB / 328kB      0B / 0B             23
60.67%              49.34MiB / 1.944GiB   2.48%               2.76MB / 2.12MB     0B / 0B             23
60.67%              49.34MiB / 1.944GiB   2.48%               2.76MB / 2.12MB     0B / 0B             23
65.97%              50.86MiB / 1.944GiB   2.56%               4.87MB / 3.73MB     0B / 0B             23
65.97%              50.86MiB / 1.944GiB   2.56%               4.87MB / 3.73MB     0B / 0B             23
60.44%              53.71MiB / 1.944GiB   2.70%               6.86MB / 5.24MB     0B / 0B             23
60.44%              53.71MiB / 1.944GiB   2.70%               6.86MB / 5.24MB     0B / 0B             23
60.96%              52.62MiB / 1.944GiB   2.64%               8.81MB / 6.75MB     0B / 0B             23
60.96%              52.62MiB / 1.944GiB   2.64%               8.81MB / 6.75MB     0B / 0B             23
61.30%              53.03MiB / 1.944GiB   2.66%               10.9MB / 8.32MB     0B / 0B             23
61.30%              53.03MiB / 1.944GiB   2.66%               10.9MB / 8.32MB     0B / 0B             23
57.70%              53.42MiB / 1.944GiB   2.68%               13MB / 9.93MB       0B / 0B             23
57.70%              53.42MiB / 1.944GiB   2.68%               13MB / 9.93MB       0B / 0B             23
60.50%              54.07MiB / 1.944GiB   2.72%               15.1MB / 11.6MB     0B / 0B             23
60.50%              54.07MiB / 1.944GiB   2.72%               15.1MB / 11.6MB     0B / 0B             23
52.62%              54.93MiB / 1.944GiB   2.76%               17.2MB / 12.9MB     0B / 0B             23
52.62%              54.93MiB / 1.944GiB   2.76%               17.2MB / 12.9MB     0B / 0B             23
58.39%              53.92MiB / 1.944GiB   2.71%               19.2MB / 14.7MB     0B / 0B             23
58.39%              53.92MiB / 1.944GiB   2.71%               19.2MB / 14.7MB     0B / 0B             23
57.73%              53.66MiB / 1.944GiB   2.70%               21.3MB / 16.3MB     0B / 0B             23
57.73%              53.66MiB / 1.944GiB   2.70%               21.3MB / 16.3MB     0B / 0B             23
52.39%              55.04MiB / 1.944GiB   2.77%               23.2MB / 17.8MB     0B / 0B             23
52.39%              55.04MiB / 1.944GiB   2.77%               23.2MB / 17.8MB     0B / 0B             23
51.83%              55.39MiB / 1.944GiB   2.78%               25.2MB / 19.3MB     0B / 0B             23
51.83%              55.39MiB / 1.944GiB   2.78%               25.2MB / 19.3MB     0B / 0B             23
59.57%              56.36MiB / 1.944GiB   2.83%               27.5MB / 21MB       0B / 0B             23
59.57%              56.36MiB / 1.944GiB   2.83%               27.5MB / 21MB       0B / 0B             23
52.17%              56.73MiB / 1.944GiB   2.85%               29.4MB / 22.5MB     0B / 0B             23
52.17%              56.73MiB / 1.944GiB   2.85%               29.4MB / 22.5MB     0B / 0B             23
57.81%              56.95MiB / 1.944GiB   2.86%               31.5MB / 24.1MB     0B / 0B             23
57.81%              56.95MiB / 1.944GiB   2.86%               31.5MB / 24.1MB     0B / 0B             23
54.39%              56.59MiB / 1.944GiB   2.84%               33.7MB / 25.8MB     0B / 0B             23
54.39%              56.59MiB / 1.944GiB   2.84%               33.7MB / 25.8MB     0B / 0B             23
55.40%              56.56MiB / 1.944GiB   2.84%               35.7MB / 27.3MB     0B / 0B             23
55.40%              56.56MiB / 1.944GiB   2.84%               35.7MB / 27.3MB     0B / 0B             23
55.60%              57.66MiB / 1.944GiB   2.90%               37.8MB / 28.9MB     0B / 0B             23
55.60%              57.66MiB / 1.944GiB   2.90%               37.8MB / 28.9MB     0B / 0B             23
56.34%              57.09MiB / 1.944GiB   2.87%               39.7MB / 30.4MB     0B / 0B             23
56.34%              57.09MiB / 1.944GiB   2.87%               39.7MB / 30.4MB     0B / 0B             23
56.43%              57.5MiB / 1.944GiB   2.89%               41.8MB / 32MB       0B / 0B             23
56.43%              57.5MiB / 1.944GiB   2.89%               41.8MB / 32MB       0B / 0B             23
49.76%              58.09MiB / 1.944GiB   2.92%               43.8MB / 33.5MB     0B / 0B             23
49.76%              58.09MiB / 1.944GiB   2.92%               43.8MB / 33.5MB     0B / 0B             23
56.46%              57.62MiB / 1.944GiB   2.90%               45.9MB / 35.1MB     0B / 0B             23
56.46%              57.62MiB / 1.944GiB   2.90%               45.9MB / 35.1MB     0B / 0B             23
60.95%              58.13MiB / 1.944GiB   2.92%               47.9MB / 36.6MB     0B / 0B             23
60.95%              58.13MiB / 1.944GiB   2.92%               47.9MB / 36.6MB     0B / 0B             23
52.43%              58.32MiB / 1.944GiB   2.93%               49.9MB / 38.2MB     0B / 0B             23
