CPU %               MEM USAGE / LIMIT    MEM %               NET I/O             BLOCK I/O           PIDS
0.00%               25.3MiB / 1.944GiB   1.27%               906B / 0B           0B / 0B             19
0.00%               25.3MiB / 1.944GiB   1.27%               906B / 0B           0B / 0B             19
0.00%               25.3MiB / 1.944GiB   1.27%               906B / 0B           0B / 0B             19
0.00%               25.3MiB / 1.944GiB   1.27%               906B / 0B           0B / 0B             19
0.00%               25.3MiB / 1.944GiB   1.27%               906B / 0B           0B / 0B             19
0.00%               25.3MiB / 1.944GiB   1.27%               906B / 0B           0B / 0B             19
0.00%               25.3MiB / 1.944GiB   1.27%               906B / 0B           0B / 0B             19
0.00%               25.3MiB / 1.944GiB   1.27%               906B / 0B           0B / 0B             19
0.00%               25.3MiB / 1.944GiB   1.27%               906B / 0B           0B / 0B             19
0.00%               25.3MiB / 1.944GiB   1.27%               906B / 0B           0B / 0B             19
73.73%              47.05MiB / 1.944GiB   2.36%               1.67MB / 2.89MB     0B / 0B             23
73.73%              47.05MiB / 1.944GiB   2.36%               1.67MB / 2.89MB     0B / 0B             23
91.97%              56MiB / 1.944GiB    2.81%               2.71MB / 9.73MB     0B / 0B             23
91.97%              56MiB / 1.944GiB    2.81%               2.71MB / 9.73MB     0B / 0B             23
97.69%              55.75MiB / 1.944GiB   2.80%               4.49MB / 16.3MB     0B / 0B             23
97.69%              55.75MiB / 1.944GiB   2.80%               4.49MB / 16.3MB     0B / 0B             23
103.93%             55.63MiB / 1.944GiB   2.79%               6.03MB / 22.8MB     0B / 0B             23
103.93%             55.63MiB / 1.944GiB   2.79%               6.03MB / 22.8MB     0B / 0B             23
100.57%             58.05MiB / 1.944GiB   2.92%               7.8MB / 28.8MB      0B / 0B             23
100.57%             58.05MiB / 1.944GiB   2.92%               7.8MB / 28.8MB      0B / 0B             23
74.07%              56.51MiB / 1.944GiB   2.84%               9.06MB / 35.2MB     0B / 0B             23
74.07%              56.51MiB / 1.944GiB   2.84%               9.06MB / 35.2MB     0B / 0B             23
84.26%              55.2MiB / 1.944GiB   2.77%               11MB / 41.7MB       0B / 0B             23
84.26%              55.2MiB / 1.944GiB   2.77%               11MB / 41.7MB       0B / 0B             23
80.91%              55.7MiB / 1.944GiB   2.80%               12.5MB / 47.7MB     0B / 0B             23
